iter	Passed	Remaining
671	1309	639
672	1310	636
673	1311	634
674	1312	632
675	1317	631
676	1318	629
677	1320	626
678	1321	624
679	1322	622
680	1323	619
681	1324	617
682	1325	615
683	1326	613
684	1328	610
685	1331	609
686	1333	607
687	1334	605
688	1336	603
689	1337	600
690	1338	598
691	1339	596
692	1341	594
693	1342	591
694	1343	589
695	1346	588
696	1347	585
697	1348	583
698	1349	581
699	1350	578
700	1351	576
701	1353	574
702	1354	572
703	1355	569
704	1356	567
705	1357	565
706	1358	563
707	1362	561
708	1363	559
709	1364	557
710	1365	555
711	1366	552
712	1368	550
713	1369	548
714	1370	546
715	1371	543
716	1372	541
717	1373	539
718	1376	538
719	1378	535
720	1379	533
721	1380	531
722	1381	529
723	1382	527
724	1384	525
725	1386	523
726	1388	521
727	1392	520
728	1396	519
729	1398	517
730	1400	515
731	1401	513
732	1403	511
733	1406	509
734	1407	507
735	1408	505
736	1409	503
737	1410	500
738	1412	498
739	1413	496
740	1414	494
741	1415	492
742	1416	489
743	1417	487
744	1418	485
745	1419	483
746	1422	481
747	1423	479
748	1424	477
749	1425	475
750	1427	473
751	1428	470
752	1429	468
753	1430	466
754	1431	464
755	1432	462
756	1434	460
757	1436	458
758	1438	456
759	1439	454
760	1440	452
761	1442	450
762	1444	448
763	1446	446
764	1447	444
765	1448	442
766	1450	440
767	1452	438
768	1454	436
769	1455	434
770	1456	432
771	1457	430
772	1458	428
773	1460	426
774	1461	424
775	1462	422
776	1463	419
777	1464	417
778	1466	416
779	1467	414
780	1469	411
781	1470	409
782	1471	407
783	1472	405
784	1473	403
785	1474	401
786	1475	399
787	1476	397
788	1477	395
789	1480	393
790	1481	391
791	1482	389
792	1483	387
793	1484	385
794	1485	383
795	1486	380
796	1487	378
797	1489	376
798	1490	374
799	1491	372
800	1493	370
801	1494	369
802	1495	367
803	1497	364
804	1498	362
805	1499	360
806	1500	358
807	1503	357
808	1504	355
809	1505	353
810	1510	351
811	1511	349
812	1513	348
813	1514	346
814	1515	344
815	1519	342
816	1521	340
817	1525	339
818	1528	337
819	1534	336
820	1535	334
821	1537	332
822	1542	331
823	1544	329
824	1547	328
825	1549	326
826	1550	324
827	1551	322
828	1554	320
829	1556	318
830	1558	316
831	1559	314
832	1561	313
833	1562	311
834	1564	309
835	1565	307
836	1572	306
837	1573	304
838	1576	302
839	1591	303
840	1593	301
841	1594	299
842	1597	297
843	1602	296
844	1604	294
845	1606	292
846	1609	290
847	1611	288
848	1618	287
849	1619	285
850	1624	284
851	1625	282
852	1627	280
853	1628	278
854	1629	276
855	1633	274
856	1635	272
857	1637	270
